Date,Open,High,Low,Close,Volume,Market Cap
2020-05-21,9522.74,9555.24,8869.93,9081.76,39326160532.0,166947987864.0
2020-05-20,9725.33,9804.79,9447.2,9522.98,36546239703.0,175050963475.0
2020-05-19,9727.06,9836.05,9539.62,9729.04,39254288955.0,178831635026.0
2020-05-18,9675.69,9906.03,9570.36,9726.57,41827139896.0,178779483464.0
2020-05-17,9374.93,9823.0,9349.55,9670.74,40084250663.0,177745404470.0
2020-05-16,9333.24,9564.2,9260.69,9377.01,36164766408.0,172340956579.0
2020-05-15,9734.29,9755.83,9261.4,9328.2,48158802327.0,171436341789.0
2020-05-14,9271.33,9793.27,9255.03,9733.72,56426907637.0,178881641547.0
2020-05-13,8805.39,9317.88,8805.39,9269.99,45558144023.0,170352710071.0
2020-05-12,8610.39,8949.9,8569.64,8804.48,42142717533.0,161791577301.0
2020-05-11,8755.54,9033.47,8374.32,8601.8,57119858802.0,158059235276.0
2020-05-10,9591.17,9595.58,8395.11,8756.43,63325279337.0,160884755211.0
2020-05-09,9840.91,9913.86,9580.64,9593.9,46566121841.0,176251395673.0
2020-05-08,9936.16,9996.74,9767.17,9842.67,51780748042.0,180804859844.0
2020-05-07,9261.9,9992.66,9138.32,9951.52,61112700562.0,182787376637.0
2020-05-06,9007.44,9411.47,8966.71,9268.76,49371886931.0,170229620935.0
2020-05-05,8912.83,9062.41,8856.83,9003.07,43148462663.0,165332488792.0
2020-05-04,8895.74,8956.91,8645.02,8912.65,45718796276.0,163654493632.0
2020-05-03,8983.61,9167.78,8830.97,8897.47,47101785174.0,163358189151.0
2020-05-02,8869.06,9007.19,8811.37,8988.6,40134388683.0,165012307600.0
2020-05-01,8672.78,9048.02,8667.76,8864.77,44068389997.0,162722652380.0
2020-04-30,8797.67,9440.65,8533.26,8658.55,66964629541.0,158922133909.0
2020-04-29,7806.71,8871.75,7786.05,8801.04,60201052203.0,161522471385.0
2020-04-28,7796.97,7814.53,7730.81,7807.06,33187959921.0,143266252261.0
2020-04-27,7679.42,7795.6,7679.42,7795.6,36162144725.0,143040988590.0
2020-04-26,7570.14,7700.59,7561.41,7679.87,33070154491.0,140903867573.0
2020-04-25,7550.48,7641.36,7521.67,7569.94,32941541447.0,138874072264.0
2020-04-24,7434.18,7574.2,7434.18,7550.9,34636526286.0,138512029491.0
2020-04-23,7121.31,7491.78,7081.59,7429.72,43500782316.0,136275638031.0
2020-04-22,6879.44,7145.87,6867.78,7117.21,33249153866.0,130530916077.0
2020-04-21,6879.78,6934.55,6834.44,6880.32,32589741511.0,126175238603.0
2020-04-20,7186.87,7240.29,6835.5,6881.96,37747113936.0,126192239912.0
2020-04-19,7260.92,7280.52,7167.05,7189.42,31311210215.0,131815853850.0
2020-04-18,7092.29,7269.96,7089.25,7257.66,32447188386.0,133053136876.0
2020-04-17,7116.55,7167.18,7050.33,7096.18,32513423567.0,130078472088.0
2020-04-16,6640.45,7134.45,6555.5,7116.8,46783242377.0,130445413270.0
2020-04-15,6845.56,6928.66,6633.4,6642.11,32288311031.0,121731940639.0
2020-04-14,6843.28,6958.56,6793.82,6842.43,34110434052.0,125388687977.0
2020-04-13,6965.62,6965.62,6668.26,6845.04,38619308647.0,125422221237.0
2020-04-12,6858.07,7119.95,6811.08,6971.09,35759567632.0,127716846208.0
2020-04-11,6867.44,6926.07,6789.92,6859.08,31222085946.0,125651623116.0
2020-04-10,7303.82,7303.82,6802.47,6865.49,43622840992.0,125755496117.0
2020-04-09,7337.97,7341.45,7179.09,7302.09,34815139178.0,133737857010.0
2020-04-08,7179.28,7356.22,7153.31,7334.1,37563249549.0,134309895036.0
2020-04-07,7273.64,7427.94,7136.71,7176.41,44243482668.0,131409299432.0
2020-04-06,6788.05,7271.78,6782.89,7271.78,46896904615.0,133140400948.0
2020-04-05,6862.54,6883.41,6715.93,6791.13,29510409856.0,124328853512.0
2020-04-04,6738.38,6878.95,6696.48,6867.53,33185988584.0,125712834530.0
2020-04-03,6797.4,7003.22,6673.34,6733.39,38976504903.0,123244051100.0
2020-04-02,6606.78,7088.25,6595.92,6793.62,47660646124.0,124335130640.0
2020-04-01,6437.32,6612.57,6202.37,6606.78,40346426266.0,120903014693.0
2020-03-31,6430.61,6504.52,6374.16,6438.64,32786468812.0,117814077267.0
2020-03-30,5925.54,6517.2,5903.23,6429.84,37101651525.0,117640143688.0
2020-03-29,6245.62,6250.47,5920.09,5922.04,28373690931.0,108338520156.0
2020-03-28,6467.25,6467.5,6117.84,6242.19,34885225901.0,114183689641.0
2020-03-27,6719.39,6793.84,6466.7,6469.8,34585598367.0,118336082172.0
2020-03-26,6675.17,6735.46,6590.96,6716.44,35319797642.0,122834375216.0
2020-03-25,6738.72,6892.51,6536.93,6681.06,44590107888.0,122174009143.0
